Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.12.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.13.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.14.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.15.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.16.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.17.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.18.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.19.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.2.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.20.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.21.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.22.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.23.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.24.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.25.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.26.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.27.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.28.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.29.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.3.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.30.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.31.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.32.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.33.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.34.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.35.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.36.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.37.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.38.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.39.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.4.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.5.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.6.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.7.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.8.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.9.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Hearbeat_logo1.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton2.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton2.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton3.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton3.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton4.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton4.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton7.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,InterlockedPushButton7.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,LoginButton1.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,LogoutButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,M000_ta_help1.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,M000_ta_help1.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,M000_ta_help1.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton10.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton10.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton10.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton11.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton11.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton11.E.St_Caption,Error
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton2.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton2.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,MomentaryPushButton2.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f10.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f10.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f10.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f11.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f11.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f11.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f12.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f12.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f12.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f13.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f13.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f13.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f14.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f14.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f14.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f6.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f6.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f6.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f7.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f7.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f7.E.St_Caption,"
"
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f8.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f8.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f8.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f9.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f9.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,pb_f9.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,ReturntoDisplayButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Text19.Caption,Reject
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Text2.Caption,Good
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Text3.Caption,DEFAULT
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Title Bar,
/H01_515036_10:H01_515036_10,Global Objects Display,Backup,Track Name,**UNDEFINED**
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button1.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button2.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button3.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button3.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button4.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button4.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button5.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button5.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button6.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button6.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button7.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button7.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button8.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Button8.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.Acknowledge.Tooltip,Acknowledge the selected alarm.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.AcknowledgeWithComment.Tooltip,Acknowledge the selected alarm with a comment.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.AudibleSoundDisabled.Tooltip,Audible sound for the bell is disabled.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.AudibleSoundEnabled.Tooltip,Audible sound for the bell is enabled.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.RunAlarmAndEventSummary.Tooltip,Run alarm and event summary command.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.RunAlarmCommand.Tooltip,Run the alarm command associated with the selected alarm.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.Shelve.Tooltip,Shelve selected alarm for specified time.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarButton.SilenceAllAlarms.Tooltip,Silence all the alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.AlarmFault.Tooltip,Number of faults for all alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.EventActive.Tooltip,Number of Active Events.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.IgnoreUnknownMessage.Tooltip,Ignore unknown alarm messages
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.InAlarmAndAcknowledged.Tooltip,Number of In Alarm and Acknowledged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.InAlarmAndUnacknowledged.Tooltip,Number of In Alarm and Unacknowleged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.NormalAndUnacknowledged.Tooltip,Number of Normal and Unacknowledged alarms.
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.ServerStatusConnected.Tooltip,Connected
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,FactoryTalkAlarmandEventBanner1.StatusbarPanel.ServerStatusDisconnected.Tooltip,Disconnected
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,GotoDisplayButton1.Up.Caption,Alarms
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,GotoDisplayButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.10.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.11.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.12.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.13.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.14.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.15.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.16.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.17.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.18.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.19.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.2.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.20.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.21.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.22.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.23.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.24.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.25.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.26.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.27.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.28.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.29.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.3.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.30.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.31.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.32.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.33.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.34.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.35.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.36.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.37.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.38.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.39.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.4.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.5.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.6.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.7.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.8.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.9.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Hearbeat_logo1.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton2.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton2.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton3.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton3.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton4.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton4.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton7.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,InterlockedPushButton7.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,LoginButton1.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,LogoutButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton11.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton11.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton11.E.St_Caption,Error
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton2.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton2.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,MomentaryPushButton2.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f10.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f10.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f10.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f11.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f11.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f11.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f12.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f12.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f12.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f13.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f13.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f13.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f14.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f14.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f14.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f6.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f6.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f6.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f7.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f7.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f7.E.St_Caption,"
"
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f8.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f8.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f8.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f9.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f9.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,pb_f9.E.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,ReturntoDisplayButton2.Down.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,ReturntoDisplayButton2.Up.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Text19.Caption,Reject
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Text2.Caption,Good
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Text3.Caption,DEFAULT
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Title Bar,
/H01_515036_10:H01_515036_10,Global Objects Display,Header_full1,Track Name,**UNDEFINED**
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,InterlockedPushButton21.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,InterlockedPushButton21.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M000_mode_state_graphics.0.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M000_mode_state_graphics.1.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M000_mode_state_graphics.2.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M000_mode_state_graphics.3.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M000_mode_state_graphics.E.St_Caption,Error
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,M011_act_spd.KeypadCaption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,NumericInputCursorPoint2.KeypadCaption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,NumericInputCursorPoint3.KeypadCaption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton1.Caption,"
"
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton2.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton3.Caption,"
"
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton4.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton5.Caption,"
"
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,RampButton6.Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,Title Bar,
/H01_515036_10:H01_515036_10,Global Objects Display,HeaderSpeedTab,Track Name,Graphic
/H01_515036_10:H01_515036_10,Global Objects Display,template,ClosureSortingBowlSpd.KeypadCaption,
/H01_515036_10:H01_515036_10,Global Objects Display,template,inputFval.KeypadCaption,
